"team","position","passing_tds","rushing_tds","receiving_tds","passing_2pt_conversions","rushing_2pt_conversions","receiving_2pt_conversions","other_touchdown","pts","reg_ppg"
"LV","TE",0,0,8,0,0,1,0,50,3.125
"LV","WR",0,0,7,0,0,0,0,42,2.625
"MIA","K",0,0,0,0,0,0,0,111,6.9375
"MIA","OTH",0,0,0,0,0,0,1,6,0.375
"MIA","QB",22,0,0,1,0,0,0,89,5.5625
"MIA","RB",0,13,5,0,0,0,0,108,6.75
"MIA","TE",0,0,7,0,0,1,0,44,2.75
"MIA","WR",0,1,10,0,0,0,0,66,4.125
"MIN","K",0,0,0,0,0,0,0,120,7.5
"MIN","OTH",0,0,0,0,0,0,2,12,0.75
"MIN","QB",17,4,0,2,0,0,0,94,5.875
"MIN","RB",1,9,2,0,0,0,0,70,4.375
"MIN","TE",0,0,7,0,0,0,0,42,2.625
"MIN","WR",0,1,9,0,0,2,0,64,4
"NE","K",0,0,0,0,0,0,0,126,7.875
"NE","OTH",0,0,0,0,0,0,5,30,1.875
"NE","QB",30,4,0,1,1,0,0,147,9.1875
"NE","RB",0,14,2,0,1,1,0,100,6.25
"NE","TE",0,0,9,0,0,0,0,54,3.375
"NE","WR",0,0,19,0,0,0,0,114,7.125
"NO","K",0,0,0,0,0,0,0,113,7.0625
"NO","OTH",0,0,0,0,0,0,3,18,1.125
"NO","QB",17,2,0,0,1,0,0,82,5.125
"NO","RB",0,5,0,0,0,0,0,30,1.875
"NO","TE",1,1,4,0,0,0,0,34,2.125
"NO","WR",0,0,14,0,0,0,0,84,5.25
"NYG","K",0,0,0,0,0,0,0,91,5.6875
"NYG","OTH",0,0,0,0,0,0,2,12,0.75
"NYG","QB",18,10,1,1,0,0,0,139,8.6875
"NYG","RB",0,11,3,0,1,0,0,86,5.375
"NYG","TE",0,0,6,0,0,0,0,36,2.25
"NYG","WR",1,0,9,0,0,1,0,60,3.75
"NYJ","K",0,0,0,0,0,0,0,106,6.625
"NYJ","OTH",0,0,0,0,0,0,4,24,1.5
"NYJ","QB",13,5,0,3,2,0,0,89,5.5625
"NYJ","RB",1,6,2,0,0,1,0,54,3.375
"NYJ","TE",0,0,2,0,0,1,0,14,0.875
"NYJ","WR",0,0,10,0,0,1,0,62,3.875
"PHI","K",0,0,0,0,0,0,0,96,6
"PHI","OTH",0,0,0,0,0,0,3,18,1.125
"PHI","QB",25,8,0,0,0,0,0,148,9.25
"PHI","RB",0,8,2,0,1,0,0,62,3.875
"PHI","TE",0,0,11,0,0,0,0,66,4.125
"PHI","WR",0,0,12,0,0,0,0,72,4.5
"PIT","K",0,0,0,0,0,0,0,115,7.1875
"PIT","OTH",0,0,0,0,0,0,3,18,1.125
"PIT","QB",25,1,0,1,0,0,0,107,6.6875
"PIT","RB",0,10,5,0,0,0,0,90,5.625
"PIT","TE",0,2,8,0,0,1,0,62,3.875
"PIT","WR",0,1,12,0,0,0,0,78,4.875
"SEA","K",0,0,0,0,0,0,0,164,10.25
"SEA","OTH",0,0,0,0,0,0,7,42,2.625
"SEA","QB",25,0,0,2,0,0,0,102,6.375
"SEA","RB",0,17,0,0,1,0,0,104,6.5
"SEA","TE",0,1,7,0,0,1,0,50,3.125
"SEA","WR",0,0,18,0,0,1,0,110,6.875
"SF","K",0,0,0,0,0,0,0,136,8.5
"SF","OTH",0,0,0,0,0,0,1,6,0.375
"SF","QB",33,3,0,2,0,0,0,152,9.5
"SF","RB",0,12,9,0,0,0,0,126,7.875
"SF","TE",0,0,14,0,0,0,0,84,5.25
"SF","WR",0,0,10,0,0,2,0,64,4
"TB","K",0,0,0,0,0,0,0,118,7.375
"TB","OTH",0,0,1,0,0,0,2,18,1.125
"TB","QB",25,1,0,2,0,0,0,108,6.75
"TB","RB",0,12,4,0,0,0,0,96,6
"TB","TE",0,0,1,0,0,0,0,6,0.375
"TB","WR",0,0,19,0,0,2,0,118,7.375
"TEN","K",0,0,0,0,0,0,0,113,7.0625
"TEN","OTH",0,0,1,0,0,0,4,30,1.875
"TEN","QB",15,1,0,0,0,0,0,66,4.125
"TEN","RB",0,7,0,0,0,0,0,42,2.625
"TEN","TE",0,0,5,0,0,0,0,30,1.875
"TEN","WR",0,0,9,0,0,0,0,54,3.375
"WAS","K",0,0,0,0,0,0,0,96,6
"WAS","OTH",0,0,0,0,0,0,2,12,0.75
"WAS","QB",18,3,0,2,0,0,0,92,5.75
"WAS","RB",0,14,0,0,1,0,0,86,5.375
"WAS","TE",0,0,5,0,0,1,0,32,2
"WAS","WR",0,1,13,0,0,1,0,86,5.375
